aX,aY,aZ,gX,gY,gZ
-0.271,-0.28,0.884,2.441,12.512,4.639
-0.267,-0.276,0.9,5.981,9.705,0.488
-0.256,-0.28,0.918,7.812,8.728,-2.563
-1.412,-0.084,1.735,182.861,-215.82,115.54
-1.247,-0.07,1.837,168.518,-58.35,79.468
-1.075,-0.127,1.736,109.497,22.156,26.001
-0.94,-0.183,1.529,37.903,19.897,-18.433
-0.891,-0.25,1.33,-20.081,-35.828,-53.101
-0.81,-0.296,1.227,-58.533,-97.534,-77.515
-0.771,-0.291,1.218,-77.637,-132.751,-89.417
-0.769,-0.251,1.323,-81.726,-130.371,-87.952
-0.798,-0.223,1.432,-80.139,-81.055,-77.087
-0.8,-0.225,1.539,-78.552,17.395,-59.326
-0.808,-0.228,1.506,-78.857,142.761,-30.884
-0.818,-0.219,1.445,-80.811,266.174,14.648
-0.856,-0.204,1.376,-80.811,372.192,63.599
-0.866,-0.172,1.286,-78.308,458.13,98.511
-0.821,-0.12,1.184,-75.378,517.822,118.286
-0.738,-0.086,1.094,-72.815,548.401,123.596
-0.697,-0.057,1.03,-66.65,555.298,114.075
-0.558,-0.021,0.981,-57.8,550.659,94.91
-0.355,-0.014,0.888,-50.354,551.575,66.956
-0.163,-0.035,0.783,-30.273,565.002,41.26
-0.081,-0.039,0.765,3.662,592.529,31.25
0.025,-0.076,0.776,34.668,641.785,34.546
0.133,-0.128,0.671,60.059,697.937,41.809
0.312,-0.057,0.468,92.896,730.53,52.612
0.446,0.129,0.287,132.263,724.854,62.317
0.506,0.235,0.131,166.016,692.993,69.397
0.555,0.201,0.064,188.965,660.156,70.984
0.533,0.102,0.01,202.087,629.456,57.19
0.61,0.019,-0.013,202.148,595.642,34.302
0.654,-0.04,-0.042,185.974,545.166,7.141
0.719,-0.089,-0.136,161.316,486.328,-13.489
0.801,-0.161,-0.21,129.7,439.087,-18.25
0.797,-0.244,-0.223,104.004,402.71,-23.315
0.766,-0.177,-0.337,98.877,341.675,-31.555
0.883,-0.115,-0.422,79.773,272.583,-22.644
0.931,-0.141,-0.518,52.063,196.838,-18.86
0.931,-0.14,-0.542,40.1,114.319,-21.545
0.915,-0.136,-0.521,32.104,31.799,-25.635
0.917,-0.159,-0.471,11.536,-41.26,-28.992
0.901,-0.206,-0.427,-10.254,-105.408,-33.936
0.906,-0.222,-0.379,-26.794,-157.166,-42.053
0.891,-0.22,-0.343,-38.757,-199.463,-50.11
0.887,-0.221,-0.316,-48.828,-241.15,-56.274
0.865,-0.19,-0.292,-57.983,-292.542,-68.359
0.836,-0.15,-0.229,-75.317,-358.032,-89.417
0.77,-0.158,-0.122,-101.563,-437.622,-115.173
0.772,-0.272,0.017,-128.357,-528.87,-136.536
0.86,-0.365,0.207,-157.532,-617.676,-140.869
0.835,-0.425,0.348,-191.223,-687.378,-122.986
0.771,-0.416,0.417,-229.431,-733.154,-96.436
0.641,-0.417,0.421,-249.695,-758.789,-74.646
0.511,-0.401,0.461,-240.295,-758.301,-56.885
0.386,-0.343,0.512,-218.628,-742.981,-44.006
0.242,-0.259,0.55,-200.562,-731.567,-36.011
0.079,-0.169,0.571,-184.082,-734.009,-31.067
-0.124,-0.072,0.595,-162.048,-744.812,-28.015
-0.309,-0.017,0.671,-124.817,-749.756,-28.564
-0.522,0.028,0.749,-67.383,-722.534,-36.987
-0.686,0.054,0.872,-10.071,-641.541,-45.105
-0.86,0.045,1.092,37.109,-515.564,-43.396
-0.976,0.049,1.293,73.792,-367.432,-35.889
-0.927,0.034,1.38,98.999,-216.614,-36.377
-0.781,-0.029,1.368,102.661,-88.379,-43.335
-0.645,-0.106,1.3,90.332,-4.211,-43.884
-0.512,-0.227,1.229,72.876,29.968,-33.691
-0.406,-0.282,1.23,49.255,21.667,-18.188
-0.387,-0.25,1.197,25.452,-16.235,-7.019
-0.441,-0.209,1.152,-2.136,-59.937,-0.732
-0.486,-0.179,1.102,-29.724,-88.928,2.808
-0.517,-0.186,1.011,-44.739,-102.905,3.296
-0.541,-0.204,0.936,-48.157,-106.75,0.671
-0.567,-0.212,0.897,-45.715,-99.487,0
-0.602,-0.172,0.906,-38.94,-82.153,2.808
-0.613,-0.119,0.942,-30.701,-56.152,1.343
-0.585,-0.09,0.945,-25.33,-24.109,-5.31
-0.559,-0.085,0.915,-24.719,6.897,-9.399
-0.531,-0.097,0.875,-24.841,32.166,-7.629
-0.504,-0.103,0.833,-22.278,51.025,-2.258
-0.466,-0.124,0.811,-15.991,67.505,6.104
-0.421,-0.164,0.804,-3.174,79.712,12.085
-0.376,-0.189,0.821,15.32,85.266,13.489
-0.341,-0.191,0.855,30.64,85.754,13.916
-0.316,-0.187,0.891,39.734,82.397,13.916
-0.301,-0.184,0.912,43.274,75.928,13.306
-0.302,-0.198,0.959,42.664,68.481,11.963
-0.307,-0.201,1.01,37.231,61.035,9.216
