aX,aY,aZ,gX,gY,gZ
-0.812,-1.829,-0.319,925.476,-16.357,-259.766
-0.936,-2.174,-0.141,864.197,-15.137,-292.053
-0.76,-2.494,0.202,805.237,-12.146,-302.612
-0.206,-2.541,0.793,731.018,-31.921,-288.513
0.271,-2.417,1.418,630.127,-93.994,-256.287
0.499,-2.318,2.027,521.301,-178.894,-201.294
0.587,-2.186,2.544,425.049,-256.836,-117.737
0.541,-2.025,2.875,348.755,-267.944,-19.348
0.295,-1.842,2.783,310.852,-178.894,68.909
-0.074,-1.916,2.479,278.931,-45.959,121.338
-0.416,-1.893,2.026,236.572,69.702,153.687
-0.627,-1.815,1.665,182.251,139.099,167.969
-0.831,-1.779,1.438,110.107,135.986,144.958
-0.805,-1.643,1.38,3.601,79.773,115.784
-0.686,-1.613,1.433,-115.479,24.597,93.994
-0.562,-1.655,1.598,-223.145,4.15,66.956
-0.424,-1.635,1.749,-307.922,22.461,41.321
-0.304,-1.608,1.801,-375.671,67.871,23.499
-0.25,-1.565,1.728,-438.66,118.652,21.24
-0.233,-1.522,1.564,-499.756,152.161,36.804
-0.256,-1.431,1.344,-551.636,166.26,63.66
-0.293,-1.352,1.124,-587.524,172.974,87.463
-0.319,-1.344,0.879,-595.093,177.429,93.628
-0.284,-1.236,0.666,-584.351,184.143,84.351
-0.173,-1.141,0.533,-567.566,192.322,76.416
-0.031,-1.042,0.505,-552.063,194.031,76.843
-0.023,-0.932,0.487,-541.077,194.092,80.994
-0.014,-0.82,0.457,-525.696,199.951,82.886
0.036,-0.678,0.402,-508.545,208.252,82.886
0.089,-0.49,0.348,-483.948,203.918,82.458
0.152,-0.275,0.294,-456.055,178.894,80.872
0.226,-0.091,0.257,-433.289,143.188,74.89
0.208,0.001,0.287,-415.955,102.295,68.115
0.27,0.091,0.242,-398.682,54.626,60.303
0.326,0.197,0.187,-379.211,7.141,52.246
0.383,0.282,0.162,-368.164,-25.574,50.11
0.37,0.273,0.095,-352.6,-39.49,54.26
0.364,0.3,-0.007,-313.782,-39.612,63.354
0.313,0.382,-0.08,-255.676,-29.541,65.735
0.213,0.484,-0.111,-190.063,-7.08,55.542
0.123,0.562,-0.081,-131.104,23.682,38.574
0.08,0.557,-0.053,-81.787,49.194,18.127
0.11,0.526,-0.047,-40.71,60.547,-3.235
0.159,0.491,-0.058,-6.775,56.335,-20.935
0.202,0.42,-0.059,22.339,42.053,-31.738
0.249,0.343,-0.069,52.063,20.935,-34.058
0.298,0.283,-0.096,89.294,-11.658,-31.25
0.313,0.233,-0.104,129.211,-52.551,-29.541
0.313,0.239,-0.147,176.025,-95.337,-29.053
0.314,0.314,-0.161,228.333,-139.648,-31.067
0.267,0.375,-0.192,279.175,-182.129,-32.166
0.198,0.36,-0.208,332.581,-224.182,-35.278
0.036,0.247,-0.182,376.77,-268.372,-40.1
-0.158,0.105,-0.147,419.556,-310.364,-43.396
-0.37,-0.036,-0.121,476.807,-338.867,-53.467
-0.582,-0.279,-0.12,537.842,-344.055,-70.984
-0.682,-0.539,-0.095,602.417,-334.961,-86.182
-0.793,-0.856,-0.015,658.997,-310.669,-95.276
-0.928,-1.163,0.109,699.951,-267.944,-98.206
-1.009,-1.451,0.317,720.825,-208.008,-105.896
-0.794,-1.62,0.598,723.999,-137.024,-114.441
-0.519,-1.67,0.92,691.956,-70.74,-118.591
-0.271,-1.751,1.232,636.475,-25.146,-111.877
-0.093,-1.789,1.461,577.881,-14.648,-101.135
0.015,-1.73,1.69,504.333,-47.18,-88.989
0.033,-1.629,1.892,419.312,-108.948,-68.542
-0.068,-1.582,1.947,338.013,-163.757,-32.471
-0.13,-1.542,2.004,266.968,-164.001,8.85
-0.252,-1.554,1.954,227.661,-120.972,33.02
-0.369,-1.513,1.857,200.684,-64.819,41.748
-0.441,-1.484,1.77,161.621,-16.724,48.279
-0.509,-1.467,1.685,109.985,4.456,52.979
-0.515,-1.393,1.596,47.607,5.371,55.176
-0.513,-1.344,1.481,-15.625,0.488,51.147
-0.479,-1.347,1.424,-79.895,4.639,45.41
-0.398,-1.354,1.426,-140.076,25.574,45.227
-0.293,-1.345,1.418,-187.134,56.458,48.218
-0.195,-1.3,1.395,-227.051,86.548,56.152
-0.161,-1.258,1.348,-266.846,111.511,71.472
-0.159,-1.215,1.294,-305.664,129.333,94.055
-0.193,-1.188,1.205,-335.327,142.334,113.464
-0.268,-1.166,1.093,-357.117,154.846,117.004
-0.323,-1.124,1.001,-377.625,167.114,112.366
-0.321,-1.089,0.945,-397.644,172.546,109.192
-0.278,-1.092,0.89,-411.804,167.297,105.774
-0.22,-1.02,0.808,-423.035,151.917,101.929
-0.183,-0.933,0.672,-431.641,128.418,97.412
-0.103,-0.792,0.561,-437.5,101.624,90.698
-0.003,-0.637,0.502,-442.017,73.792,80.444
0.043,-0.491,0.48,-438.232,47.546,70.435
0.072,-0.385,0.499,-425.964,29.48,64.392
0.112,-0.301,0.509,-405.029,21.118,61.707
0.114,-0.263,0.454,-368.896,19.531,58.411
0.116,-0.179,0.365,-315.918,21.484,54.26
0.11,-0.039,0.3,-257.202,24.231,51.025
0.117,0.09,0.276,-198.792,23.743,48.157
0.109,0.175,0.295,-147.827,21.362,44.495
0.087,0.206,0.336,-103.699,18.005,37.842
0.107,0.218,0.385,-65.674,11.475,28.381
0.136,0.22,0.416,-34.973,-1.404,19.226
0.16,0.201,0.455,-14.954,-23.865,15.625
0.18,0.175,0.496,-4.517,-57.556,18.799
0.154,0.162,0.558,1.282,-95.886,24.902
0.059,0.177,0.661,1.77,-126.404,29.663
-0.037,0.215,0.79,-4.395,-140.991,27.344
-0.064,0.264,0.871,-15.259,-137.817,17.212
-0.083,0.256,0.912,-26.733,-121.216,3.967
-0.078,0.244,0.905,-32.776,-96.985,-6.897
-0.05,0.239,0.871,-28.625,-72.205,-14.893
-0.043,0.25,0.837,-16.846,-51.27,-20.203
-0.054,0.267,0.821,-1.099,-35.645,-21.24
-0.08,0.255,0.842,17.212,-20.569,-20.874
-0.08,0.228,0.873,33.997,-4.333,-20.569
-0.06,0.22,0.896,48.645,9.827,-20.386
-0.048,0.21,0.908,58.899,20.752,-20.203
-0.023,0.172,0.926,64.392,28.992,-18.494
-0.004,0.137,0.953,66.101,34.546,-14.526
0.014,0.111,0.976,65.735,36.682,-10.254
0.029,0.104,1,60.669,35.583,-6.47
0.104,-1.998,1.454,745.117,-274.414,-94.299
0.046,-1.866,2.123,657.715,-287.72,-8.118
-0.052,-1.743,2.512,567.932,-234.192,74.341
-0.142,-1.611,2.636,484.314,-111.145,118.835
-0.269,-1.535,2.456,408.386,22.888,129.7
-0.381,-1.473,2.117,332.764,101.807,123.718
